DATE,DAY,MONTH,QUARTER,YEAR,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
31-Jul-26,Friday,July,Q3,2026,EQ,1620.00,1661.50,1610.50,1669.00,1653.90,1651.30,1649.14,1854.00,1304.10,3355677.00,115043.00
30-Jul-26,Thursday,July,Q3,2026,EQ,1649.00,1686.60,1638.10,1644.20,1661.40,1669.00,1674.08,1854.00,1304.10,4167643.00,117264.00
29-Jul-26,Wednesday,July,Q3,2026,EQ,1661.00,1673.00,1640.10,1635.20,1642.10,1644.20,1652.75,1854.00,1304.10,2189575.00,101771.00
28-Jul-26,Tuesday,July,Q3,2026,EQ,1599.00,1643.90,1595.80,1575.00,1630.00,1635.20,1627.99,1854.00,1304.10,5082959.00,129037.00
27-Jul-26,Monday,July,Q3,2026,EQ,1576.00,1599.60,1571.00,1559.50,1576.00,1575.00,1584.40,1854.00,1304.10,1513324.00,54519.00
24-Jul-26,Friday,July,Q3,2026,EQ,1549.00,1579.80,1531.10,1555.80,1555.00,1559.50,1554.54,1854.00,1304.10,1231512.00,47967.00
23-Jul-26,Thursday,July,Q3,2026,EQ,1550.00,1567.60,1539.00,1560.60,1566.30,1555.80,1555.14,1854.00,1304.10,2424854.00,64730.00
22-Jul-26,Wednesday,July,Q3,2026,EQ,1574.10,1574.10,1551.60,1576.30,1558.40,1560.60,1561.23,1854.00,1304.10,975901.00,50161.00
21-Jul-26,Tuesday,July,Q3,2026,EQ,1577.00,1614.60,1572.00,1576.40,1577.40,1576.30,1590.99,1854.00,1304.10,2624717.00,87975.00
20-Jul-26,Monday,July,Q3,2026,EQ,1577.60,1608.00,1572.40,1572.90,1576.50,1576.40,1586.36,1854.00,1304.10,2324331.00,78337.00
17-Jul-26,Friday,July,Q3,2026,EQ,1540.00,1585.00,1527.30,1510.30,1570.10,1572.90,1554.22,1854.00,1304.10,10632264.00,235153.00
16-Jul-26,Thursday,July,Q3,2026,EQ,1510.00,1538.30,1504.20,1498.70,1515.60,1510.30,1521.03,1854.00,1304.10,2903245.00,104587.00
15-Jul-26,Wednesday,July,Q3,2026,EQ,1465.20,1507.00,1453.00,1484.30,1502.10,1498.70,1488.68,1854.00,1304.10,1834279.00,81783.00
14-Jul-26,Tuesday,July,Q3,2026,EQ,1509.00,1519.90,1480.00,1504.50,1484.40,1484.30,1499.41,1854.00,1304.10,2011058.00,90865.00
13-Jul-26,Monday,July,Q3,2026,EQ,1444.20,1524.80,1444.20,1454.80,1502.00,1504.50,1496.82,1854.00,1304.10,2285072.00,81096.00
10-Jul-26,Friday,July,Q3,2026,EQ,1448.00,1478.90,1445.30,1426.30,1455.00,1454.80,1456.10,1854.00,1304.10,1732609.00,60244.00
9-Jul-26,Thursday,July,Q3,2026,EQ,1426.00,1436.30,1399.00,1428.80,1432.30,1426.30,1424.90,1854.00,1304.10,1379708.00,60962.00
8-Jul-26,Wednesday,July,Q3,2026,EQ,1441.00,1452.90,1422.80,1447.50,1426.00,1428.80,1438.05,1854.00,1304.10,1489170.00,60875.00
7-Jul-26,Tuesday,July,Q3,2026,EQ,1398.50,1463.30,1398.50,1406.50,1447.00,1447.50,1446.47,1854.00,1304.10,4066916.00,101082.00
6-Jul-26,Monday,July,Q3,2026,EQ,1409.80,1417.40,1391.00,1410.10,1408.00,1406.50,1402.14,1854.00,1304.10,1158020.00,50685.00
3-Jul-26,Friday,July,Q3,2026,EQ,1399.90,1445.00,1398.50,1421.30,1407.10,1410.10,1423.90,1854.00,1304.10,2849871.00,77937.00
2-Jul-26,Thursday,July,Q3,2026,EQ,1378.30,1426.00,1373.40,1362.20,1424.40,1421.30,1408.21,1854.00,1304.10,3034626.00,86114.00
1-Jul-26,Wednesday,July,Q3,2026,EQ,1404.70,1404.70,1355.60,1404.70,1360.00,1362.20,1365.96,1854.00,1304.10,3793024.00,96443.00
30-Jun-26,Tuesday,June,Q2,2026,EQ,1438.00,1443.80,1398.90,1433.80,1405.50,1404.70,1411.19,1854.00,1304.10,2421536.00,81224.00
29-Jun-26,Monday,June,Q2,2026,EQ,1439.70,1453.90,1428.60,1437.10,1438.90,1433.80,1439.01,1854.00,1304.10,2466821.00,67600.00
25-Jun-26,Thursday,June,Q2,2026,EQ,1465.00,1476.00,1435.10,1461.60,1439.70,1437.10,1445.48,1854.00,1304.10,2553830.00,70643.00
24-Jun-26,Wednesday,June,Q2,2026,EQ,1420.00,1466.50,1420.00,1415.60,1461.00,1461.60,1454.87,1854.00,1304.10,3451553.00,91380.00
23-Jun-26,Tuesday,June,Q2,2026,EQ,1427.20,1433.30,1400.50,1435.20,1416.00,1415.60,1413.17,1854.00,1304.10,2402816.00,93331.00
